trip_id_Count,bikeid,tripduration_Sum,Record_Count
763,5292,758116,763
646,4408,590654,646
673,696,585907,673
506,4915,443713,506
879,4247,744784,879
727,3536,682977,727
959,5111,831714,959
620,1579,591591,620
681,3914,669529,681
811,5455,710552,811
328,4282,286166,328
765,4768,759394,765
575,2505,494544,575
682,142,676220,682
818,1407,772369,818
873,4631,886865,873
582,2790,570591,582
609,5739,577486,609
825,790,795778,825
615,3385,580939,615
342,4701,353043,342
695,2593,665626,695
1048,5732,995612,1048
530,908,492556,530
643,1587,662404,643
853,4798,749625,853
405,616,400923,405
359,220,325508,359
869,3933,791758,869
166,1791,113808,166
708,3237,813123,708
567,2039,505219,567
237,182,187719,237
401,2090,495137,401
744,5717,691873,744
569,4550,542787,569
843,4590,777218,843
837,4979,737525,837
348,2768,487458,348
892,4569,866456,892
645,194,645602,645
877,2610,665199,877
706,1562,660663,706
770,27,774402,770
933,1852,886674,933
604,4837,640660,604
634,2993,599979,634
742,3022,678826,742
966,3921,895403,966
672,3743,590833,672
577,4345,527514,577
667,739,666243,667
296,242,304643,296
783,4517,790688,783
704,4874,614597,704
491,2101,464243,491
857,5453,764352,857
89,4740,89665,89
406,1752,424725,406
1036,5003,924226,1036
491,1848,502842,491
1027,5731,1161393,1027
743,461,681367,743
779,2679,742443,779
866,2211,951989,866
532,1052,520744,532
648,2895,639571,648
741,2496,805717,741
641,2330,620003,641
438,2165,393611,438
656,3947,662586,656
568,1079,581413,568
903,5694,941539,903
780,3870,805457,780
504,5367,405377,504
885,5527,793895,885
214,3264,162627,214
635,5202,696600,635
809,5548,706269,809
531,5915,580785,531
603,3228,523403,603
609,3886,601231,609
666,4645,599992,666
1035,3351,1041564,1035
980,5148,915677,980
881,3077,778390,881
523,1800,548949,523
432,2219,517423,432
851,1354,794409,851
581,2108,522516,581
753,2059,727900,753
790,125,752546,790
588,2586,552829,588
717,3991,625668,717
652,2936,633116,652
604,757,596621,604
817,2546,780854,817
365,2875,263642,365
661,470,604212,661
614,2377,535722,614
897,4310,793989,897
288,2831,223607,288
753,5267,755168,753
1019,5146,1014194,1019
679,351,683434,679
603,1799,539901,603
56,3462,30803,56
603,2411,620228,603
449,3547,445493,449
215,3502,150560,215
838,3821,779613,838
291,295,251751,291
360,2481,326952,360
867,4280,854029,867
695,2055,642151,695
850,1454,831522,850
786,3133,701378,786
608,269,545872,608
851,4875,861139,851
696,2028,747333,696
683,1542,757956,683
120,5559,93285,120
705,2098,694540,705
569,2650,582721,569
568,2656,500768,568
703,3928,737190,703
560,2008,543474,560
180,5153,132605,180
636,4226,612093,636
647,2887,626724,647
595,1552,567580,595
468,1252,453111,468
764,2773,784961,764
471,2802,491130,471
962,4988,971162,962
772,2431,732340,772
737,4612,709159,737
742,4082,691872,742
922,5340,857879,922
754,1934,761760,754
673,2164,634714,673
749,602,698120,749
922,3171,797808,922
254,3559,192837,254
403,2921,496380,403
764,5584,708594,764
790,4434,848660,790
854,3181,830749,854
1030,1756,927173,1030
916,3230,972103,916
567,5539,527660,567
759,4173,633842,759
168,488,201701,168
772,1506,703121,772
888,5701,901210,888
567,495,525669,567
909,5063,885430,909
334,2663,314857,334
483,2877,452884,483
627,2876,616944,627
169,1131,115618,169
532,504,517474,532
94,2820,77523,94
671,1974,648877,671
975,5524,933486,975
835,3684,824481,835
732,5658,705479,732
516,848,471260,516
804,3833,871217,804
911,5404,896151,911
771,4235,695978,771
597,2155,604297,597
820,3746,779439,820
324,978,290022,324
760,666,691484,760
719,4538,662596,719
936,4775,891182,936
874,3346,965322,874
676,210,620083,676
551,4537,536465,551
724,2598,809432,724
765,967,680209,765
671,5641,613594,671
434,2293,387736,434
829,5635,787448,829
609,2406,529890,609
685,1329,625694,685
574,2680,539800,574
993,4285,971200,993
870,5281,826947,870
686,646,618555,686
220,5357,157064,220
863,4749,688694,863
556,865,509178,556
674,3247,669218,674
677,4901,601981,677
749,5219,750246,749
659,1592,588161,659
766,5824,738105,766
870,4406,863779,870
686,2015,711476,686
331,5108,311791,331
533,1156,561740,533
619,3172,619776,619
670,2049,657614,670
340,5328,362514,340
948,1521,864977,948
525,1814,476246,525
804,5855,750514,804
312,3125,327591,312
613,1681,604087,613
447,141,491432,447
683,1936,669505,683
611,5362,618693,611
612,5276,611935,612
652,4944,633193,652
633,2883,567116,633
777,3985,688448,777
605,4575,567268,605
764,985,691800,764
969,5448,914563,969
716,305,682958,716
707,4090,722555,707
959,3835,945188,959
187,4794,143710,187
51,5558,61706,51
337,1323,313770,337
880,4563,942718,880
862,4481,901386,862
226,2465,175492,226
